language,x1,x2,x3,x4,x5,x6
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,E,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,e,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,o,l,-
bulg1262,-,c,-,o,l,y
bulg1262,-,c,-,o,l,-
bulg1262,-,c,y,o,l,-
bulg1262,-,c,-,e,l,-
