language,x1,x2,x3,x4,x5,x6
bulg1262,i,s,t,r,o,p
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,y
bulg1262,-,s,t,r,o,x
bulg1262,i,s,t,r,o,v
bulg1262,-,s,t,r,o,f
bulg1262,i,s,t,r,o,v
bulg1262,-,s,t,r,o,y
bulg1262,-,s,-,r,o,v
bulg1262,-,s,t,r,o,x
bulg1262,-,s,-,r,o,h
bulg1262,-,s,t,r,o,v
bulg1262,-,s,t,r,o,x
bulg1262,i,s,t,r,o,h
bulg1262,-,s,t,r,o,h
bulg1262,-,s,-,r,o,h
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,h
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,-,r,o,x
bulg1262,-,s,-,r,o,p
bulg1262,-,s,-,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,-,r,o,f
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,-
bulg1262,i,s,t,r,o,v
bulg1262,i,s,t,r,o,f
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,f
bulg1262,-,s,-,r,o,h
bulg1262,-,s,t,r,o,h
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,x
bulg1262,i,s,t,r,o,v
bulg1262,-,s,t,r,o,v
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,-
bulg1262,-,s,-,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,v
bulg1262,-,s,t,r,o,-
bulg1262,-,s,-,r,o,f
bulg1262,i,s,t,r,o,f
bulg1262,-,s,t,r,o,h
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,i,s,t,r,o,h
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,y
bulg1262,-,s,-,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,h
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,f
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,y
bulg1262,i,s,t,r,o,y
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,S
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,h
bulg1262,-,s,t,r,o,-
bulg1262,-,s,t,r,o,x
bulg1262,-,s,t,r,o,x
bulg1262,i,s,t,r,o,v
bulg1262,-,s,t,r,o,v
bulg1262,-,s,t,r,o,-
