language,x1,x2,x3
bulg1262,s,3,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,u,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,3,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,o,-
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,o,s
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,z
bulg1262,-,-,z
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,3,s
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,3,s
bulg1262,s,3,z
bulg1262,s,3,s
bulg1262,s,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,u,s
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,o,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,o,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,3,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,z
bulg1262,s,3,s
bulg1262,-,3,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,3,s
bulg1262,s,3,s
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,-,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,3,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,u,s
bulg1262,s,o,s
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,u,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,z
bulg1262,s,3,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,-,3,s
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,3,s
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,s
bulg1262,s,o,s
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,u,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,z
bulg1262,s,o,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,s,o,s
bulg1262,s,3,s
bulg1262,s,u,s
bulg1262,-,-,z
bulg1262,s,-,-
bulg1262,-,-,z
bulg1262,s,o,-
bulg1262,s,o,z
bulg1262,s,o,s
